pdb_id,assembly_id,target_chain,partner_chain,target_residue_count,partner_residue_count,target_atom_count,partner_atom_count,pdb_path
1ET1,1,A,B,34,34,325,333,dataset/pdb_complexes/1ET1.pdb
1G2Y,1,A,C,30,28,215,203,dataset/pdb_complexes/1G2Y.pdb
1IX9,1,A,B,205,205,1741,1736,dataset/pdb_complexes/1IX9.pdb
1IXB,1,A,B,205,205,1710,1705,dataset/pdb_complexes/1IXB.pdb
1KJQ,1,A,B,388,385,3019,3010,dataset/pdb_complexes/1KJQ.pdb
1KQP,1,A,B,271,271,4316,4296,dataset/pdb_complexes/1KQP.pdb
1M2D,1,A,B,101,101,787,787,dataset/pdb_complexes/1M2D.pdb
1MWQ,1,A,B,99,99,842,830,dataset/pdb_complexes/1MWQ.pdb
1NKI,1,A,B,134,134,1090,1077,dataset/pdb_complexes/1NKI.pdb
1PSR,1,A,B,100,100,833,816,dataset/pdb_complexes/1PSR.pdb
1R0R,1,E,I,274,51,1962,400,dataset/pdb_complexes/1R0R.pdb
1V6P,1,A,B,62,62,605,580,dataset/pdb_complexes/1V6P.pdb
1WUI,1,L,S,532,267,4174,2020,dataset/pdb_complexes/1WUI.pdb
1WUK,1,L,S,533,267,4180,2022,dataset/pdb_complexes/1WUK.pdb
2ANV,1,A,B,146,146,1209,1176,dataset/pdb_complexes/2ANV.pdb
2ANX,1,A,B,146,146,1234,1192,dataset/pdb_complexes/2ANX.pdb
2AXW,1,A,B,134,134,2061,2107,dataset/pdb_complexes/2AXW.pdb
2GJ3,1,A,B,119,119,990,930,dataset/pdb_complexes/2GJ3.pdb
2GUD,1,A,B,121,121,942,940,dataset/pdb_complexes/2GUD.pdb
2HIN,1,A,B,66,64,669,606,dataset/pdb_complexes/2HIN.pdb
2HS1,1,A,B,99,99,920,923,dataset/pdb_complexes/2HS1.pdb
2JHF,1,A,B,374,374,2954,2912,dataset/pdb_complexes/2JHF.pdb
2NMZ,1,A,B,99,99,912,914,dataset/pdb_complexes/2NMZ.pdb
2OB3,1,A,B,329,329,2603,2551,dataset/pdb_complexes/2OB3.pdb
2P45,1,A,B,124,116,967,876,dataset/pdb_complexes/2P45.pdb
2PL7,1,A,B,67,67,480,481,dataset/pdb_complexes/2PL7.pdb
2VHA,1,A,B,277,277,2215,2246,dataset/pdb_complexes/2VHA.pdb
2WYT,1,A,F,153,153,2373,2348,dataset/pdb_complexes/2WYT.pdb
2XTT,1,A,B,35,223,496,3369,dataset/pdb_complexes/2XTT.pdb
3A2O,1,A,B,99,99,1922,1926,dataset/pdb_complexes/3A2O.pdb
3AZD,1,A,B,30,30,252,252,dataset/pdb_complexes/3AZD.pdb
3CCD,1,A,B,85,85,654,654,dataset/pdb_complexes/3CCD.pdb
3DJK,1,A,B,99,99,849,868,dataset/pdb_complexes/3DJK.pdb
3EO6,1,A,B,101,101,1073,994,dataset/pdb_complexes/3EO6.pdb
3F1L,1,A,B,245,244,3807,3800,dataset/pdb_complexes/3F1L.pdb
3FIL,1,A,B,55,56,456,463,dataset/pdb_complexes/3FIL.pdb
3FX5,1,A,B,99,99,1741,1841,dataset/pdb_complexes/3FX5.pdb
3G46,1,A,B,146,146,1173,1251,dataset/pdb_complexes/3G46.pdb
3NDX,1,A,B,99,99,826,842,dataset/pdb_complexes/3NDX.pdb
3NOO,1,A,B,228,227,1888,1751,dataset/pdb_complexes/3NOO.pdb
3NOQ,1,A,B,227,229,1895,2000,dataset/pdb_complexes/3NOQ.pdb
3NU3,1,A,B,99,99,888,899,dataset/pdb_complexes/3NU3.pdb
3O1N,1,A,B,252,246,2102,1995,dataset/pdb_complexes/3O1N.pdb
3PSM,1,A,B,47,47,379,393,dataset/pdb_complexes/3PSM.pdb
3RQ9,1,A,B,78,84,640,723,dataset/pdb_complexes/3RQ9.pdb
3SK2,1,A,B,132,132,1171,1188,dataset/pdb_complexes/3SK2.pdb
3VRC,1,A,B,130,131,1001,988,dataset/pdb_complexes/3VRC.pdb
3VZ9,1,B,D,103,60,860,506,dataset/pdb_complexes/3VZ9.pdb
4A7U,1,A,F,153,153,1158,1182,dataset/pdb_complexes/4A7U.pdb
4A7V,1,A,F,153,153,1150,1164,dataset/pdb_complexes/4A7V.pdb
4AXO,1,A,B,126,137,2222,2309,dataset/pdb_complexes/4AXO.pdb
4CJ0,1,A,B,534,60,4251,460,dataset/pdb_complexes/4CJ0.pdb
4CNN,1,A,B,245,247,2103,2050,dataset/pdb_complexes/4CNN.pdb
4EGU,1,A,B,118,115,1935,1954,dataset/pdb_complexes/4EGU.pdb
4K12,1,A,B,64,82,517,711,dataset/pdb_complexes/4K12.pdb
4NDS,1,A,B,94,94,1609,1525,dataset/pdb_complexes/4NDS.pdb
4NSV,1,A,B,264,264,3912,3950,dataset/pdb_complexes/4NSV.pdb
4QLP,1,A,B,175,199,2859,3268,dataset/pdb_complexes/4QLP.pdb
4U9H,1,L,S,533,265,8692,4159,dataset/pdb_complexes/4U9H.pdb
4U9I,1,L,S,533,265,8595,4139,dataset/pdb_complexes/4U9I.pdb
4UE8,1,A,B,162,37,2667,619,dataset/pdb_complexes/4UE8.pdb
4UNU,1,A,B,109,109,840,842,dataset/pdb_complexes/4UNU.pdb
4YNH,1,A,B,58,58,1030,1009,dataset/pdb_complexes/4YNH.pdb
