pdb_id,target_chain,partner_chain,threshold,positive_count,negative_count,positive_ratio,negative_ratio
2HS1,A,B,0.50,41,58,0.414141,0.585859
2HS1,A,B,1.00,41,58,0.414141,0.585859
2HS1,A,B,2.00,40,59,0.404040,0.595960
2HS1,A,B,5.00,39,60,0.393939,0.606061
5YOK,A,B,0.50,40,59,0.404040,0.595960
5YOK,A,B,1.00,40,59,0.404040,0.595960
5YOK,A,B,2.00,39,60,0.393939,0.606061
5YOK,A,B,5.00,37,62,0.373737,0.626263
6Q00,A,B,0.50,16,60,0.210526,0.789474
6Q00,A,B,1.00,16,60,0.210526,0.789474
6Q00,A,B,2.00,14,62,0.184211,0.815789
6Q00,A,B,5.00,13,63,0.171053,0.828947
6Q01,A,C,0.50,14,62,0.184211,0.815789
6Q01,A,C,1.00,14,62,0.184211,0.815789
6Q01,A,C,2.00,13,63,0.171053,0.828947
6Q01,A,C,5.00,13,63,0.171053,0.828947
1V6P,A,B,0.50,13,49,0.209677,0.790323
1V6P,A,B,1.00,13,49,0.209677,0.790323
1V6P,A,B,2.00,12,50,0.193548,0.806452
1V6P,A,B,5.00,11,51,0.177419,0.822581
3A2O,A,B,0.50,42,57,0.424242,0.575758
3A2O,A,B,1.00,42,57,0.424242,0.575758
3A2O,A,B,2.00,41,58,0.414141,0.585859
3A2O,A,B,5.00,35,64,0.353535,0.646465
3FIL,A,B,0.50,13,42,0.236364,0.763636
3FIL,A,B,1.00,13,42,0.236364,0.763636
3FIL,A,B,2.00,12,43,0.218182,0.781818
3FIL,A,B,5.00,11,44,0.200000,0.800000
9YGW,A,B,0.50,37,158,0.189744,0.810256
9YGW,A,B,1.00,37,158,0.189744,0.810256
9YGW,A,B,2.00,35,160,0.179487,0.820513
9YGW,A,B,5.00,33,162,0.169231,0.830769
4U9H,L,S,0.50,90,443,0.168856,0.831144
4U9H,L,S,1.00,90,443,0.168856,0.831144
4U9H,L,S,2.00,85,448,0.159475,0.840525
4U9H,L,S,5.00,81,452,0.151970,0.848030
9MXN,A,B,0.50,60,166,0.265487,0.734513
9MXN,A,B,1.00,60,166,0.265487,0.734513
9MXN,A,B,2.00,58,168,0.256637,0.743363
9MXN,A,B,5.00,54,172,0.238938,0.761062
1ET1,A,B,0.50,8,26,0.235294,0.764706
1ET1,A,B,1.00,8,26,0.235294,0.764706
1ET1,A,B,2.00,8,26,0.235294,0.764706
1ET1,A,B,5.00,8,26,0.235294,0.764706
1IX9,A,B,0.50,23,182,0.112195,0.887805
1IX9,A,B,1.00,23,182,0.112195,0.887805
1IX9,A,B,2.00,22,183,0.107317,0.892683
1IX9,A,B,5.00,19,186,0.092683,0.907317
1IXB,A,B,0.50,22,183,0.107317,0.892683
